Skip,"Atlamak"
Reroll,"Güncelleme"
Health,"Sağlık"
TypeDamage,"Hasar Türü"
PhysicalDamage,"Fiziksel Hasar"
StunDamage,"Sersemletme Hasarı"
BurningDamage,"Yakma Hasarı"
SlowedDamage,"Yavaşlatılmış Hasar"
RepulsiveDamage,"İtici Hasar"
Damage,"Hasar"
Chance,"Şans"
Duration,"Süre"
Repulsive,"İtici"
Slowdown,"Yavaşlama"
GradualDamage,"Kademeli Hasar"
AbilityCooldown,"Soğuma"
AbilityDuration,"Süreklilik"
AbilityValue,"Hasar"
ElectricSphere,"Elektrik Küresi"
ElectricSphereDescription,"Oyuncunun etrafında hareket eden bir elektrik küresi yaratır"
ElectricTrap,"Elektrik Tuzağı"
ElectricTrapDescription,"Oyuncunun yerinde bir tuzak kurar. İçine düşen düşman hasar alacak"
Fireball,"Ateş topu
FireballDescription,"Oyuncu, rakibe zarar veren ve onları ateşe veren bir ateş topu ateşler"
FireCircle,"Ateş Çemberi"
FireCircleDescription,"Oyuncunun yerinde bir ateş çemberi oluşturur. Kendisine girenlerin muhaliflerini ateşe veriyor"
FrostNova,"Soğuk Patlama"
FrostNovaDescription,"Düşmanlara zarar veren ve onları yavaşlatan buzlu bir patlama yaratır"
IceBolt,"Buz Cıvatası"
IceBoltDescription,"Rastgele bir düşmana hasar veren ve onları sersemletebilecek bir buz parçası fırlatır"
LightningBolt,"Yıldırım Cıvatası"
LightningBoltDescription,"Rastgele bir düşmana şimşek çakıyor"
Metior,"Göktaşı"
MetiorDescription,"Rastgele bir düşmana bir göktaşı fırlatır ve bu da onu uzaklaştırır"
SnowBall,"Kartopu"
SnowBallDescription,"Rakibe kartopu atarak onu uzaklaştırır"
ElectricPassive,"Yıldırım hızı"
ElectricPassiveDescription,"Oyuncunun hareket hızını artırır"
FirePassive,"İlkel ateş"
FirePassiveDescription,"Oyuncunun normal saldırılarla verdiği hasarı artırır"
IcePassive,"Buz tabakası"
IcePassiveDescription,"Oyuncunun zırhını artırır"
RerollDescription,"Kart setini yükseltmek için puan ekler"
HealthDescription,"Oyuncunun maksimum sağlık rezervini artırır"
Buran,"Buran'ın"
BuranDescription,"Oyuncunun yerinde hasar veren ve içine düşen düşmanları yavaşlatan güçlü bir fırtına yaratır"
DragonTrace,"Ejderhanın izi"
DragonTraceDescription,"Oyuncu hareket ederken yerinde ateş çemberleri oluşturur"
ElectricGuard,"Elektrik koruması"
ElectricGuardDescription,"Oyuncunun etrafında 4 elektrikli tuzak oluşturur"
Firestorm,"Ateş Fırtınası"
FirestormDescription,"Oyuncu, rakiplerine yüksek hızda ateş topları salıyor"
GlobularLightning,"Top yıldırım"
GlobularLightningDescription,"Oyuncunun etrafında düşmanlara zarar veren iki elektrikli küre dönüyor"
IceAvalanche,"Buz çığı"
IceAvalancheDescription,"Oyuncunun yerinde, rakiplere zarar veren ve onları sersemletebilecek bir buz parçası yağmuru yaratır"
MeteorRain,"Meteor yağmuru"
MeteorRainDescription,"Oyuncunun yerinde rakiplere zarar veren bir meteor yağmuru yaratır"
Snowfall,"Kar yağışı"
SnowfallDescription,"Rakiplere iten ve hasara neden olan üç kartopu fırlatır"
Thunder,"Gök gürültüsü"
ThunderDescription,"Yakındaki düşmanlara yıldırım çarparak onlara zarar verir"
JerkFront,"İleri atılım"
JerkFrontDescription,"Oyuncu, düşmanları önünden iterek onlara zarar vererek ileri bir atılım yapar"
RageDescription,"Oyuncu öfkelenir, hasarını ve hareket hızını arttırır, ancak yine de zırhını azaltır"
Rage,"Öfke"
ThrowAxe,"Fırlatma baltası"
ThrowAxeDescription,"Oyuncu baltayı kendi yönünde fırlatarak yaralanan düşmanlara hasar verir"
Epiphany,"İçgörü"
EpiphanyDescription,"Oyuncunun üzerine bir ışık akışı iner, bu da yakındaki düşmanlara şifa verir ve hasar verir"
ShielUp,"Kalkanı kaldırın"
ShielUpDescription,"Oyuncu, hareket hızını düşürürken savunmasını artırarak kalkanla kendini savunur ve saldıramaz"
StunningBlow,"Çarpıcı Darbe"
StunningBlowDescription,"Oyuncu yere çekiçle vurarak yakındaki düşmanları sersemletiyor"
DarkPact,"Karanlık Anlaşma"
DarkPactDescription,"Oyuncu, sağlık yenilenme hızını artırarak diğer dünya güçlerine döner, ancak aynı zamanda hareket edemez"
SoulExplosion,"Ruhun patlaması"
SoulExplosionDescription,"Oyuncu mevcut sağlığının bir kısmını vererek yakındaki rakipleri uzaklaştıran güçlü bir patlama yaratır"
SummonSkelleton,"Ruhu çağırmak"
SummonSkelletonDescription,"Oyuncunun yanında savaşan savaşçının ruhunu çağırır. Oyuncunun silahının saldırı türünü kopyalar. Rakipler ona saldıramaz"
Barbarian,"Barbar"
Paladin,"Paladin"
Warlock,"Büyücü"
BarbarianDescription,"Yüksek hasarı ve düşük savunması olan ölümcül savaşçı"
PaladinDescription,"Büyük bir zırh arzına ve büyük büyülere sahip ışığın hizmetkarı"
WarlockDescription,"Diğer dünya güçlerinin yardımına güvenen menzilli bir karakter"
Armor,"Armor"
Menu,"Menü"
Upgrades,"İyileşmeler"
Weapons,"Silahlar"
ClassAbility,"Sınıf Yeteneği"
KnowledgeBase,"Bilgi Bankası"
AmbientSound,"Ortam Sesi"
InterfaceSound,"Arayüz hacmi"
Settings,"Ayarlar"
Sound,"Ses"
Language,"Dil"
MuteSound,"Sesi Kapat"
FastTip,"Hızlı ipucu"
DescriptionsAbility,"Açıklama Yeteneği"
NameAbility,"İsim Yeteneği"
NameWeapon,"İsim Silah"
ResetAbilityPoints,"Yetenek Noktalarını Sıfırla"
NameStats,"İsim İstatistikleri"
DescriptionsStats,"Açıklama İstatistikleri"
ChooseMod,"Mod seçin"
Levels,"Seviyeler"
DescriptionsLevel,"Zindanın derinliklerini fethedin"
Contracts,"Sözleşmeler"
DescriptionsContracts,"Tamamladıktan sonra özel bir ödül alacağınız özel bir sözleşme satın alın"
ChooseLevel,"Seviye seçimi"
LevelName,"Seviye Adı"
DescriptionLvlOrContracts,"Seviye Açıklaması"
DamageDescription,"Oyuncunun hasarını artırır"
Regeneration,"Regeneration"
RegenerationDescription,"Sağlığın iyileşme hızını artırır"
AxeElven,"Balta Elf"
AxeEvolving,"Balta Gelişiyor"
AxeIron,"Balta Demiri"
ShadowAxe,"Gölge Baltası"
StoneAxe,"Taş Balta"
DragonStaff,"Ejderha Personeli"
ElvenStaff,"Elf Asası"
IceStaff,"Ice Personeli"
ShadowStaff,"Gölge Personel"
WoodStaff,"Ahşap Personel"
ElvenHammer,"Elf Çekiç"
FantasyHammer,"Fantezi Çekiç"
IronHammer,"Demir Çekiç"
ShadowHammer,"Gölge Çekiç"
StandardHammer,"Eski Çekiç"
LifeStealValue,"Hayat Çalmak"
LifeStealChance,"Şans Hayatı Çalar"
CritChance,"Kritik hasar şansı"
CritDamage,"Kritik hasar"
BonusArmor,"Bonus Zırh"
Coins,"Sikke"
RerollPoints,"Puanları Yeniden Topla"
PlayerStats,"Oyuncu İstatistikleri"
GameStats,"Oyun İstatistikleri"
CurrentLevel,"Mevcut Seviye"
KillCount,"Öldürme Sayısı"
ArmorDescription,"Oyuncunun zırhını arttırır"
AbilityStats,"Ayarlar"
Quantity,"Miktar"
AbilityDamage,"Hasar"
MoveSpeed,"Hareket Hızı"
Healing,"İyileşme"
HealtReduce,"Sağlığı Azaltın"
AbilityCooldownDescription,"Tüm yeteneklerin bekleme süresini azaltır"
AbilityDamageDescription,"Yetenek hasarını artırır"
AbilityDurationDescription,"Yeteneklerin süresini artırır"
KnowledgeBase,"Bilgi bankası"
Player,"Oyuncu"
Game,"Oyun"
Enemy,"Düşman"
PaladinStrengths,"Çok miktarda zırh. Sersemletici hasar"
WarlockStrengths,"Uzun menzilli saldırı türü. Büyüler daha fazla hasar verir."
BarbarianStrengths,"Büyük fiziksel hasar. Vampirizm tedavisi."
BasicWeapon,"Temel Silah"
Update,"İyileşmeler"
PrimalyCard,"Bu Kartları iyileşmiyor"
Cards,"Yetenek Kartları"
GameModes,"Oyun modları"
PlayerClass,"Oyuncu sınıfları"
